#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
260,紫,紫,zǐ,3,"purple, violet; amethyst; surname",糸 120.5,12,5,G6,1619,1646,-,1471,2,1880,2604
261,伦,伦,lún,2,normal human relationships,人 9.4,6,6,G5,1095,970,-,1731,3,120,470
262,晴,晴,qíng,2,"clear weather, fine weather",日 72.8,12,2,G5,1339,1968,-,341,4,1230,2611
263,言,言,yán,2,"words, speech; speak, say",言 149.0,7,4,G3,428,355,-,689,3,2184,826
264,注,注,zhù,4,"concentrate, focus, direct",水 85.5,8,3,G3,484,492,-,460,3,1436,1252
265,怪,怪,guài,4,"strange, unusual, peculiar",心 61.5,8,3,G3,561,775,-,512,4,904,1271
266,德,德,dé,2,"ethics, morality, virtue",彳 60.12,15,5,G4,641,256,-,1074,2,878,3272
267,热,热,rè,4,hot; heat; fever; restless; zeal,火 86.6,10,1,G3,521,606,-,134,2,1566,1809
268,唱,唱,chàng,4,"sing, chant, call; ditty, song",口 30.8,11,2,G3,628,1252,-,330,5,481,2284
269,自,自,zì,4,"self, private, personal; from",自 132.0,6,3,G1,41,43,-,351,2,2039,477
270,买,买,mǎi,3,"buy, purchase; bribe, persuade",大 37.3,6,1,G2,352,758,-,148,3,55,588
271,务,务,wù,4,"affairs, business; must, should",夂 34.2,5,2,G4,640,245,-,230,2,302,297
272,红,红,hóng,2,"red, vermillion; blush, flush",糸 120.3,6,2,G2,320,502,-,268,4,1884,589
273,风,风,fēng,1,"wind; air; manners, atmosphere",風 182.0,4,3,G1,178,348,-,425,4,2597,154
274,醒,醒,xǐng,3,wake up; sober up; startle,酉 164.9,16,4,G4,872,1075,-,886,4,2447,3336
275,六,六,liù,4,number six,八 12.2,4,1,G2,316,478,-,122,3,218,160
276,文,文,wén,2,"literature, culture, writing",文 67.0,4,3,G1,123,148,-,378,3,1173,161
277,其,其,qí,2,"his, her, its, their; that",八 12.6,8,3,G2,197,85,-,362,2,223,996
278,袋,袋,dài,4,"pocket, bag, sack, pouch",衣 145.5,11,4,G4,921,1310,-,935,3,2155,2325
279,租,租,zū,1,"rent, lease; rental; tax",禾 115.5,10,1,G7,1923,1397,-,168,2,1795,1944
280,牙,牙,yá,2,"tooth, molars, teeth; serrated",牙 92.0,4,3,G4,847,997,-,541,2,1594,102
281,电,电,diàn,4,electricity; electric; lightning,曰 73.1,5,1,G1,160,230,-,88,4,1656,242
283,冬,冬,dōng,1,"winter, 11th lunar month",冫 15.3,5,3,G4,928,1384,-,573,4,238,295
284,找,找,zhǎo,3,"search, seek, look for; find",手 64.4,7,2,G2,315,466,-,265,4,1007,621
286,址,址,zhǐ,3,"site, location, land for house",土 32.4,7,4,G7,2010,1848,-,999,3,540,623
287,里,里,lǐ,3,unit of distance; village; lane,里 166.0,7,1,G1,48,50,-,34,2,2450,721
288,愿,愿,yuàn,4,"sincere, honest, virtuous",心 61.10,14,3,G3,517,598,-,482,4,959,3094
289,馆,馆,guǎn,3,public building,食 184.8,11,2,G5,1107,1011,-,313,4,2614,2373
290,力,力,lì,4,"power, capability, influence",力 19.0,2,3,G1,97,106,-,369,2,297,19
291,勺,勺,sháo,2,"spoon, ladle; unit of volume",勹 20.1,3,4,G4,979,3275,*,1060,4,317,49
292,决,决,jué,2,"decide, determine, judge",冫 15.4,6,3,G3,400,273,-,409,3,241,523
293,考,考,kǎo,3,"examine, test; investigate",老 125.0,6,2,G2,319,495,-,267,3,1962,358
294,橙,橙,chéng,2,orange,木 75.12,16,6,G8,2582,3571,-,2631,5,1350,3331
295,老,老,lǎo,3,"old, aged; experienced",老 125.0,6,1,G1,142,179,-,75,3,1961,360
296,功,功,gōng,1,"achievement, merit, good result",力 19.3,5,4,G2,312,452,-,722,4,300,202
297,圾,圾,jī,1,"garbage, rubbish; shaking; danger",土 32.4,6,4,G5,1384,2634,-,1051,2,539,362
298,块,块,kuài,4,"piece, lump; dollar",土 32.4,7,1,G3,568,793,-,150,4,545,652
299,险,险,xiǎn,3,"narrow pass, strategic point",阜 170.7,9,4,G4,749,672,-,791,4,2528,1733
300,吃,吃,chī,1,"eat; drink; suffer, endure, bear",口 30.3,6,1,G1,188,475,-,121,3,402,429
301,院,院,yuàn,4,"courtyard, yard, court; school",阜 170.7,9,1,G3,421,338,-,102,4,2526,1734
302,升,升,shēng,1,"arise, go up; hoist; advance",十 24.2,4,5,G3,579,837,-,1204,5,331,125
303,课,课,kè,4,lesson; course; classwork,言 149.8,10,2,G2,370,1208,-,325,2,2237,2120
304,床,床,chuáng,2,"bed, couch; framework, chassis",广 53.4,7,2,G4,869,1068,-,317,6,819,831
305,阴,阴,yīn,1,,阜 170.4,6,2,G4,842,987,-,309,3,2512,575
306,去,去,qù,4,"go away, leave, depart",厶 28.3,5,1,G1,62,64,-,38,2,365,204
307,声,声,shēng,1,"sound, voice, noise; tone; music",士 33.4,7,3,G1,149,195,-,389,5,587,654
308,全,全,quán,2,"maintain, keep whole or intact",入 11.4,6,4,G1,107,124,-,626,4,215,485
309,历,历,lì,4,history; calendar,厂 27.2,4,3,G5,991,480,-,456,2,354,95
310,师,师,shī,1,"teacher, master, specialist",巾 50.3,6,1,G2,283,333,-,100,3,792,413
311,间,间,jiān,1,"midpoint, space; place, locality",門 169.4,7,2,G1,115,135,-,208,4,2500,847
312,寒,寒,hán,2,"cold, wintry, chilly",宀 40.9,12,4,G4,920,1297,-,933,3,709,2780
313,漂,漂,piào,4,"float, drift; tossed about",水 85.11,14,1,G4,955,1568,-,170,4,1522,3163
314,包,包,bāo,1,"wrap, pack, bundle; package",勹 20.3,5,3,G3,468,454,-,445,3,321,298
315,画,画,huà,4,"a painting, picture, drawing; to draw",田 102.3,8,3,G2,360,883,-,524,3,1658,1036
316,走,走,zǒu,3,"walk, go on foot; run; leave",走 156.0,7,2,G1,154,207,-,225,3,2301,625
317,科,科,kē,1,"section, department, science",禾 115.4,9,4,G3,401,277,-,665,2,1792,1551
318,李,李,lǐ,3,plum; judge; surname,木 75.3,7,3,G4,682,472,-,454,2,1268,688
319,求,求,qiú,2,"seek; demand, request; beseech",水 85.2,7,3,G3,411,312,-,418,3,1398,690
320,随,随,suí,2,"follow, listen to, submit to",阜 170.10,11,4,G3,487,498,-,735,3,2534,2476
321,更,更,gèng,4,"more, still further, much more",曰 73.3,7,3,G2,238,221,-,394,4,1243,693
322,因,因,yīn,1,"cause, reason; by; because (of)",囗 31.3,6,2,G1,91,96,-,194,3,524,430
323,束,束,shù,4,"bind, control, restrain; bale",木 75.3,7,3,G5,1104,998,-,542,3,1273,694
324,笑,笑,xiào,4,"smile, laugh, giggle; snicker",竹 118.4,10,2,G2,288,346,-,248,4,1833,1952
325,蓝,蓝,lán,2,blue; indigo plant; surname,艸 140.10,13,3,G4,901,1190,-,561,3,2105,2852
326,楚,楚,chǔ,3,name of feudal state; clear,木 75.9,13,3,G4,809,859,-,522,3,1343,2864
327,暑,暑,shǔ,3,hot,日 72.8,12,4,G5,1386,2743,-,1055,3,1236,2613
328,趣,趣,qù,4,,走 156.8,15,3,G3,616,1065,-,551,2,2310,3194
329,果,果,guǒ,3,fruit; result,木 75.4,8,1,G1,135,165,-,70,3,1288,1079
330,懂,懂,dǒng,3,"understand, comprehend",心 61.13,15,2,G4,907,1211,-,326,4,971,3300
331,化,化,huà,4,"change, convert, reform; -ize",匕 21.2,4,3,G2,220,178,-,386,3,323,132
332,爷,爷,yé,2,"father, grandfather",父 88.2,6,3,G3,609,1007,-,544,2,1588,492
333,记,记,jì,4,"record; keep in mind, remember",言 149.3,5,3,G2,275,306,-,416,2,2198,323
334,叫,叫,jiào,4,"cry, shout; hail, greet, call",口 30.2,5,1,G1,182,387,-,110,4,388,253
335,司,司,sī,1,"take charge of, control, manage; officer",口 30.2,5,2,G4,647,278,-,234,2,398,325
336,出,出,chū,1,"go out, send out; stand; produce",凵 17.3,5,1,G1,28,28,-,22,3,259,330
337,奶,奶,nǎi,3,,女 38.2,5,2,G3,631,1278,-,331,3,622,332
338,来,来,lái,2,"come, coming; return, returning",木 75.3,7,1,G1,15,15,-,15,3,1276,707
339,发,发,fā,1,"issue, dispatch, send out; hair",又 29.3,5,3,G1,45,47,-,352,2,374,339
340,把,把,bǎ,3,"hold, take; guard; regard as",手 64.4,7,3,G3,375,110,*,370,2,1011,655
341,成,成,chéng,2,"completed, finished, fixed",戈 62.3,6,3,G1,57,59,-,356,5,974,401
342,游,游,yóu,2,"to swim; float, drift; wander, roam",水 85.9,12,2,G2,348,695,-,287,3,1499,2766
343,观,观,guān,1,"see, observe, view; appearance",見 147.2,6,4,G3,419,334,-,683,4,2175,586
344,位,位,wèi,4,"throne; position, post; rank, status; seat",人 9.5,7,3,G1,144,182,-,388,3,130,784
345,现,现,xiàn,4,"appear, manifest, become visible",玉 96.4,8,1,G1,68,70,-,42,4,1630,949
346,馒,馒,mán,2,steamed bread; steamed dumplings,食 184.11,14,5,G8,2584,3628,-,1684,3,2617,3138
347,狗,狗,gǒu,3,"dog, canis familiaris",犬 94.5,8,1,G3,632,1281,-,166,3,1609,1198
348,疼,疼,téng,2,"aches, pains; be fond of; love",疒 104.5,10,3,G5,1301,1710,-,589,4,1677,2031
349,备,备,bèi,4,"prepare, ready, perfect",夂 34.5,8,2,G3,447,397,-,258,3,591,1200
350,纸,纸,zhǐ,3,paper,糸 120.4,7,2,G2,367,1020,-,315,3,1895,938
351,纽,纽,niǔ,3,"knot; button; handle, knob; tie",糸 120.4,7,6,G7,1986,1767,-,1983,3,1898,942
352,港,港,gǎng,3,"port, harbor; small stream; bay",水 85.9,12,6,G5,1079,927,-,1722,4,1497,2749
353,玩,玩,wán,2,"play with, joke, enjoy",玉 96.4,8,2,G2,368,1072,-,318,3,1628,944
354,环,环,huán,2,jade ring or bracelet; ring,玉 96.4,8,3,G3,544,681,-,497,4,1629,945
355,店,店,diàn,4,"shop, store; inn, hotel",广 53.5,8,1,G4,859,1041,-,161,4,824,1208
356,持,持,chí,2,"sustain, support; hold, grasp",手 64.6,9,4,G3,429,357,-,691,3,1060,1367
357,物,物,wù,4,"thing, substance, creature",牛 93.4,8,3,G1,120,142,-,374,2,1598,1127
358,刮,刮,guā,1,"shave, pare off, scrape",刀 18.6,8,3,G7,2156,2350,-,609,3,276,1129
359,载,载,zài,4,"load; carry; transport, convey",戈 62.6,10,5,G5,1097,977,-,1250,3,2345,1787
360,和,和,hé,2,"harmony, peace; peaceful, calm",口 30.5,8,1,G1,19,19,-,18,2,445,1131
361,借,借,jiè,4,borrow; lend; make pretext of,人 9.8,10,3,G5,1099,984,-,539,3,175,1955
362,您,您,nín,2,,心 61.7,11,2,G4,767,726,-,289,3,928,2331
363,影,影,yǐng,3,"shadow; image, reflection; photograph",彡 59.12,15,1,G3,446,390,-,111,4,860,3240
364,紧,紧,jǐn,3,"tense, tight, taut; firm, secure",糸 120.4,10,4,G3,508,560,-,755,3,1879,1884
