#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
551,希,希,xī,1,"rare; hope, expect, strive for",巾 50.4,7,2,G2,321,508,-,270,2,793,796
552,但,但,dàn,4,"only; but, however, yet, still",人 9.5,7,2,G1,90,95,-,193,3,129,774
553,坐,坐,zuò,4,"sit; seat; ride, travel by",土 32.4,7,1,G2,335,611,-,135,3,543,797
554,销,销,xiāo,1,"melt, fuse; market, sell",金 167.7,12,5,G7,1889,904,-,1227,4,2478,2659
555,感,感,gǎn,3,"feel, perceive, emotion",心 61.9,13,3,G2,252,243,-,402,3,955,2875
556,汤,汤,tāng,1,"hot water; soup, gravy, broth",水 85.3,6,4,G5,1280,1618,-,979,4,1405,542
557,锅,锅,guō,1,"cooking-pot, saucepan",金 167.7,12,5,G5,1352,2074,-,1573,3,2480,2662
558,步,步,bù,4,"step, pace; walk, stroll",止 77.3,7,2,G3,423,349,-,249,2,1366,710
559,段,段,duàn,4,"section, piece, division",殳 79.5,9,3,G3,511,567,-,476,4,1377,1555
560,读,读,dú,2,"read, study; pronounce",言 149.8,10,1,G2,351,752,-,147,2,2235,2112
561,外,外,wài,4,"out, outside, external; foreign",夕 36.2,5,2,G1,112,131,-,206,3,595,293
562,汽,汽,qì,4,"steam, vapor, gas",水 85.4,7,2,G4,904,1200,-,324,2,1408,861
563,台,台,tái,2,platform; unit; term of address,口 30.2,5,4,G3,444,388,-,700,3,393,342
564,碗,碗,wǎn,3,"bowl, small dish",石 112.8,13,3,G5,1336,1939,-,600,3,1766,2881
565,忙,忙,máng,2,"busy, pressed for time; hustling",心 61.3,6,2,G3,576,827,-,297,4,886,543
566,室,室,shì,4,"room, home, house, chamber",宀 40.6,9,2,G3,550,708,-,288,3,693,1697
567,讲,讲,jiǎng,3,explain; discuss; talk,言 149.4,6,3,G3,505,555,-,470,5,2199,550
568,项,项,xiàng,4,"neck, nape of neck; sum; funds",頁 181.3,9,5,G4,716,571,-,1130,5,2577,1370
569,论,论,lùn,4,debate; discuss; discourse,言 149.4,6,4,G3,385,205,-,640,3,2203,556
570,始,始,shǐ,3,"begin, start; then, only then",女 38.5,8,2,G3,442,381,-,256,3,637,1329
571,眼,眼,yǎn,3,"eye; eyelet, hole, opening",目 109.6,11,2,G2,267,281,-,235,3,1728,2263
572,容,容,róng,2,"looks, appearance; figure, form",宀 40.7,10,3,G2,308,442,-,442,4,701,2105
574,路,路,lù,4,"road, path, street; journey",足 157.6,13,2,G1,173,305,-,241,2,2320,2918
575,园,园,yuán,2,"garden; park, orchard",囗 31.4,7,3,G3,607,988,-,540,4,526,726
576,励,励,lì,4,strive; encourage,力 19.5,7,4,G5,1248,1468,-,961,2,308,702
577,般,般,bān,1,"sort, manner, kind, category",舟 137.4,10,3,G4,735,629,-,489,3,2052,1980
578,该,该,gāi,1,"should, ought to, need to",言 149.6,8,3,G3,413,319,-,421,3,2222,1300
579,严,严,yán,2,"strict, rigorous, rigid; stern",一 1.6,7,4,G4,706,545,-,749,3,24,671
580,种,种,zhǒng,3,"seed; race, breed; to plant",禾 115.4,9,3,G1,55,57,-,355,5,1791,1549
581,本,本,běn,3,"root, origin, source; basis",木 75.1,5,1,G1,87,92,-,54,3,1258,210
582,术,术,shù,4,"art, skill, special feat; method, technique",木 75.1,5,4,G4,653,328,-,680,3,1259,211
584,谅,谅,liàng,4,"excuse, forgive; guess, presume",言 149.8,10,4,G6,1775,2120,-,1018,5,2240,2125
585,目,目,mù,4,"eye; look, see; division, topic",目 109.0,5,3,G2,250,239,-,401,2,1713,236
586,版,版,bǎn,3,printing blocks; edition,片 91.4,8,5,G6,1412,810,-,1198,3,1592,1143
587,片,片,piàn,4,"slice, splinter, strip; rad. 91",片 91.0,4,3,G2,314,455,-,446,4,1591,130
588,歉,歉,qiàn,4,"deficient, lacking, insufficient",欠 76.10,14,4,G7,2101,2149,-,1023,4,1361,3155
589,山,山,shān,1,"mountain, hill, peak",山 46.0,3,3,G1,165,259,-,407,4,753,39
590,哪,哪,nǎ,3,which? where? how?,口 30.7,9,1,G3,535,652,-,139,2,468,1515
591,父,父,fù,4,father; KangXi radical 88,父 88.0,4,4,G2,333,589,-,765,2,1587,141
592,时,时,shí,2,"time, season; era, age, period",日 72.3,7,1,G1,25,25,-,21,3,1201,717
593,饱,饱,bǎo,3,,食 184.5,8,3,G5,1346,1998,-,602,3,2607,1202
594,变,变,biàn,4,"change, transform, alter; rebel",又 29.6,8,3,G2,240,225,-,395,4,378,1204
595,察,察,chá,2,"examine, investigate; notice",宀 40.11,14,4,G4,713,564,-,757,3,713,3174
596,熊,熊,xióng,2,a bear; brilliant; bright; surname,火 86.10,14,3,G6,1654,1741,-,590,5,1577,3185
597,鲜,鲜,xiān,1,fresh; delicious; attractive,魚 195.6,14,3,G4,837,958,-,535,4,2644,3135
598,角,角,jiǎo,3,"horn; angle, corner; point",角 148.0,7,3,G3,555,736,-,507,4,2181,814
599,牛,牛,niú,2,"cow, ox, bull; KangXi radical93",牛 93.0,4,2,G3,611,1018,-,314,3,1595,120
600,远,远,yuǎn,3,"distant, remote, far; profound",辵 162.4,7,2,G2,297,386,-,257,4,2382,608
601,英,英,yīng,1,"petal, flower, leaf; brave, a hero; England, English",艸 140.5,8,5,G3,433,371,-,1088,4,2074,1006
